603992,松霖科技,20.18,20.17,20.38,19.99,20.19,20190826,-0.02,2019-12-29 12:12:09
003816,中国广核,3.61,3.59,3.62,3.59,3.6,20190826,-0.01,2019-12-29 12:12:09
002959,小熊电器,68.1,66.08,68.87,65.91,68.65,20190823,-2.57,2019-12-29 12:12:09
300787,海能实业,85.88,90.38,90.38,84.7,82.16,20190815,8.22,2019-12-29 12:12:09
688321,微芯生物,54.62,54.13,55.5,54.1,54.83,20190812,-0.7,2019-12-29 12:12:09
603115,海星股份,20.63,21.04,22.18,20.46,20.63,20190809,0.41,2019-12-29 12:12:09
002960,青鸟消防,27.16,26.81,27.22,26.81,27.13,20190809,-0.32,2019-12-29 12:12:09
688188,柏楚电子,162.39,157.78,164.44,157.78,162.5,20190808,-4.72,2019-12-29 12:12:09
688099,晶晨股份,56.59,54.79,57.86,54.6,56.3,20190808,-1.51,2019-12-29 12:12:09
603662,柯力传感,56.0,56.97,58.99,55.67,56.6,20190806,0.37,2019-12-29 12:12:09
603530,神马电力,21.35,21.62,22.77,21.3,21.31,20190805,0.31,2019-12-29 12:12:09
002966,苏州银行,10.35,10.15,10.84,10.07,10.53,20190802,-0.38,2019-12-29 12:12:09
603613,国联股份,67.66,67.05,68.49,66.42,67.92,20190730,-0.87,2019-12-29 12:12:09
603279,景津环保,21.19,20.96,21.33,20.96,21.17,20190729,-0.21,2019-12-29 12:12:09
603687,大胜达,16.25,15.45,16.28,15.44,16.21,20190726,-0.76,2019-12-29 12:12:09
002957,科瑞技术,33.93,34.47,34.65,33.75,33.88,20190726,0.59,2019-12-29 12:12:09
603983,丸美股份,61.17,61.26,62.9,60.86,61.0,20190725,0.26,2019-12-29 12:12:09
300786,国林科技,53.26,53.56,54.96,52.73,53.31,20190723,0.25,2019-12-29 12:12:09
688388,嘉元科技,55.98,54.07,56.68,53.82,56.03,20190722,-1.96,2019-12-29 12:12:09
688333,铂力特,57.3,55.87,57.8,55.8,57.38,20190722,-1.51,2019-12-29 12:12:09
688122,西部超导,32.98,32.98,33.59,32.9,32.96,20190722,0.02,2019-12-29 12:12:09
